what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1374794438554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374794438717
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374794440073
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374794450710
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374794451368
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374794451404
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1374794451416
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1374794455840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374794474044
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374794481827
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374794487972
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374794489647
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1374794505559
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1374794505622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794507010
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794509040
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374794509904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794511692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794515944
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374794515978
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374794515978
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794519089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794524103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374794524113
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374794524113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794528131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794533213
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374794533238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374794533238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794535851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794536635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794540006
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794551710
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374794551715
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794556362
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374794576371
