what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1374788589637
ws,sysinfo,,,"win32",1374788589637
locale,sysinfo,,,"fr_FR",1374788589637
processors,sysinfo,,,"4",1374788589637
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1374788589637
java.runtime.version,sysinfo,,,"1.6.0_43-b01",1374788589637
java.specification.name,sysinfo,,,"Java Platform API Specification",1374788589637
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1374788589637
java.specification.version,sysinfo,,,"1.6",1374788589637
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1374788589637
java.version,sysinfo,,,"1.6.0_43",1374788589637
java.vm.info,sysinfo,,,"mixed mode",1374788589637
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1374788589637
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1374788589637
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1374788589637
java.vm.specification.version,sysinfo,,,"1.0",1374788589637
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1374788589637
java.vm.version,sysinfo,,,"20.14-b01",1374788589637
started,bundle,com.google.gdt.eclipse.designer,2.6.0.r36x201206111227,"com.google.gdt.eclipse.designer",1374788590477
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1374788591092
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1374788591200
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1374788591370
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1374788591371
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1374788592016
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1374788592018
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1374788593463
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1374788593484
started,bundle,org.eclipse.xtext.ui,2.4.1.v201304180855,"org.eclipse.xtext.ui",1374788593674
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1374788594415
