what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619653227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619654978
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619666943
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619668398
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619672617
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619673244
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619680228
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619688425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619694457
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374619698903
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374619699124
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374619702939
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374619702957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374619707881
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374619710032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619711810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619716635
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374619716660
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374619716660
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1374619717446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374619743360
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619744754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619745943
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619747437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619762969
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374619764774
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619769580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619774686
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374619776443
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374619776462
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374619780605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619780920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619792425
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1374619794438
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374619795543
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1374619797744
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374619799767
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374619800078
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374619802820
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619804974
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619808483
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374619808521
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374619808521
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374619809839
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619810471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619814173
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374619815471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619817476
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619823883
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619830253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619844039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619845895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619848082
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374619852518
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619853205
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619901428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619906162
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619920883
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374619928360
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374619929570
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374619945319
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619948950
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374619948972
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619950854
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374619953906
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374619967263
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1374619968448
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374619968918
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374619972785
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374619972832
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1374619972841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619974447
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374619974470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619976503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619978438
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374619978462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619985719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619986439
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374619986447
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619989252
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619989675
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374619989697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619991470
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374619992527
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374619994280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620003454
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374620005023
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374620006481
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374620006537
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620008770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620010317
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1374620010655
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374620032618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620033520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620036407
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374620041349
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374620043481
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620044851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620047793
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374620047818
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374620047818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620048753
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620053576
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374620055269
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374620056773
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620059532
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620072998
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374620077138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374620083980
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374620084237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374620084582
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374620085012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374620092759
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374620094284
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620097248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620100655
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374620100694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374620100694
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374620101249
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374620104553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620105692
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620113281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620113743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620124392
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620126710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620130245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620131680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620134995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620137751
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620146315
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620159324
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620206694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374620211950
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374620213034
