what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.xtext.xtext.ui,2.4.1.v201304180855,"org.eclipse.xtext.xtext.ui",1374552004672
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374552008258
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374552013736
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374552024875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374552028993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374552032616
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374552037304
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1374552038773
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374552040207
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374552040530
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1374552044561
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374552046948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552048911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552053930
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374552053956
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374552053956
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374552059651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552062492
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552067500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552068516
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552089995
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374552090006
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552090933
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552093452
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374552101826
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374552101892
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374552114336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374552116874
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374552119466
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374552122455
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374552127044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552132774
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552139619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552140526
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552145163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552146058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552147929
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552149672
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374552167668
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374552172587
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374552185040
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374552186149
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374552188051
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374552192458
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374552200216
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374552202066
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374552208455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374552208717
