what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549503388
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374549504183
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549507600
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549509204
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374549509214
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549514038
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374549514581
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549521423
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374549521441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549522590
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374549522722
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374549525625
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374549526240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549526974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374549527792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549531055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374549531593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549532555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549536619
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374549537142
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549540842
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374549540849
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549541509
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374549541627
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374549543985
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374549544496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549545118
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374549545976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549548466
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374549548790
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549556014
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374549556028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549558725
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374549559219
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549573742
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374549573749
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549574172
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374549574268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374549577240
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374549577852
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549578609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374549579513
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549583265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374549583648
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549586248
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374549586255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549586932
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374549587077
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374549589544
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374549590245
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549591690
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374549592575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549595871
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374549596367
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549599703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374549599710
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549605265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374549605614
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549609352
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374549612295
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374549612736
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549614368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549617171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549620164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374549631508
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550097740
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550126051
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550126149
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550150164
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374550150185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550151265
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374550151742
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374550154721
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374550155902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550156966
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374550158112
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550160976
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550161777
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550169789
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550191681
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550198248
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374550198262
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550199048
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374550199177
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374550201142
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374550201825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550202556
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374550203502
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550205909
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550206315
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550244746
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374550244753
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550245619
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374550245737
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374550248592
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374550249665
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550250810
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374550251670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550255291
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550255971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374550255981
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550256656
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374550256748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374550258104
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374550258816
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550259484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374550260375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550262238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550262641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550269322
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550269426
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374550271358
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374550272889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550284619
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374550288642
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550289877
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550302307
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374550302330
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1374550302330
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1374550304902
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374550305468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550310671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374550327471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374550328347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550328797
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550365382
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374550372056
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374550374736
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550377333
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550381988
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550382072
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550383975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550389078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550389179
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550397537
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550402461
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550403434
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374550403450
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374550449995
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550459003
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550463799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374550473675
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374550480281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550480713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550482392
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374550495102
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374550505402
