what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374623689418
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374623691470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623694645
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623694717
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374623694896
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374623704170
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374623708973
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374623708973
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.close",1374623708984
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374623709471
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374623709592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623714723
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623714840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623714852
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623715945
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374623719345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623722641
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623722745
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623722756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623724028
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623726951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623727094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623727107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623729633
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1374623731318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1374623731757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1374623732018
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1374623732832
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1374623733609
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623736128
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374623737105
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1374623737111
