what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577806790
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577806827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577806860
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577806895
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577806931
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577806956
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577806992
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577807021
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577807055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577807146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577807213
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577807224
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577807336
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577807406
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577807464
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577807471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1374577807503
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374577809518
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577811792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577813483
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374577815201
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577820348
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374577820368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577837440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374577840583
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577843088
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577846240
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374577849676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577856196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374577856214
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577857807
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1374577869538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374577879724
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374577882239
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577887932
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577895870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577896320
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374577896327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577897625
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374577898510
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374577903908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577906131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577910056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577916228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577918689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374577931688
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577934127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577973992
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1374577974017
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1374577979334
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577981904
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577983397
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374577990684
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374577990702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578001068
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374578001711
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578002070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578004012
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374578005248
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374578005987
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374578007659
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374578012601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374578020185
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1374578024450
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374578027315
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.open.editor",1374578029574
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578033650
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374578033661
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578038560
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1374578039231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578039788
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578042263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578045788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374578045812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578049005
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374578058362
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578067314
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578078325
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374578107575
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1374578119403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578122552
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578124744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578127585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578136770
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578138652
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1374578138666
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1374578155399
